Symbol	human_colon_Untr._24h_1	human_colon_Untr._24h_2	human_colon_Untr._24h_3	human_colon_Untr._72h_1	human_colon_Untr._72h_2	human_colon_Untr._72h_3	human_colon_X1000uM_24h_1	human_colon_X1000uM_24h_2	human_colon_X1000uM_24h_3	human_colon_X1000uM_72h_1	human_colon_X1000uM_72h_2	human_colon_X1000uM_72h_3
A1CF	5.908448421	6.060029767	5.705584518	4.898659893	4.902015789	5.28087658	6.646657936	6.449432449	6.807156306	5.876782735	6.496343975	6.494222063
A4GALT	7.180785365	6.626200287	6.84245454	6.598437283	6.426606992	6.507825623	5.581396869	5.634046531	5.63003901	4.858244659	5.393113373	4.841249613
AAAS	9.182463002	9.015715752	9.035905628	8.923889342	9.093197115	9.060933754	8.73665496	8.629833558	8.642227228	8.260525157	8.615928213	8.573572718
AACS	9.682777609	9.688941599	9.626630511	9.343811122	9.513129665	9.412416807	8.27727885	8.181111973	8.463068424	7.764226718	8.089266288	8.014954442
AADAT	5.65314684	5.875985755	6.067130285	6.006748425	5.7700951	6.026860041	5.7796275	5.347832225	5.09981304	4.929586551	5.426478946	5.419151979
AAGAB	8.551808697	8.305728494	8.154029023	8.306301474	8.076549305	8.22560834	9.092577835	9.183846856	9.12308394	9.123905568	9.137984722	9.033499748
AAK1	8.33888657	8.339167341	8.289612787	7.961540891	7.925369859	8.140052621	7.635762832	7.747417208	8.145853874	7.696716277	7.650966392	7.750339179
AAMP	9.225580352	8.85025024	9.049655621	8.99462396	9.088313281	8.90702701	9.175869703	8.962439143	8.878628444	9.303871641	9.391419728	9.152828697
AAR2	9.141771716	9.062146442	9.047699358	9.131165618	9.138785604	9.023972101	9.760147175	9.605809952	9.429403703	9.802311275	9.866221127	9.722728097
AARS1	9.389360133	9.510100872	9.387856422	9.546820048	9.478101561	9.435620614	9.001226153	9.137503427	9.326686027	9.760201855	9.806291325	9.735332537
AARS2	6.24302463	6.527212824	6.462235378	6.341275528	6.360619467	6.335991233	6.1892565	6.220625963	5.886541986	4.994755799	5.687981923	5.859159072
AARSD1	5.82925913	5.725162589	6.099710345	5.799038645	5.92210492	5.967191854	6.026260049	6.644702637	6.397455633	6.241543724	6.651212332	6.327707656
AASDH	5.946201033	5.756893425	5.430501702	5.568707106	5.848485335	5.694325053	5.717240225	5.903038415	6.006439804	5.850019941	5.83407577	5.877346812
AASDHPPT	7.589071145	7.766281674	7.452612624	7.35164824	7.283162701	7.353805226	8.202186689	8.173456406	7.970069815	8.49238	8.235188114	8.382444176
AATBC	5.65314684	5.346279751	5.588874797	5.219320157	5.426218392	5.573139439	5.544724504	5.279841659	5.430617113	5.577312954	5.458817842	5.616006185
AATF	7.057097279	7.059277033	6.823887377	7.062667478	7.038279357	6.845205485	7.658504702	7.837583967	7.264236448	8.022835395	8.420834014	8.044834391
