Symbol	human_si_Untr._24h_1	human_si_Untr._24h_2	human_si_Untr._24h_3	human_si_Untr._72h_1	human_si_Untr._72h_2	human_si_Untr._72h_3	human_si_X1000uM_24h_1	human_si_X1000uM_24h_2	human_si_X1000uM_24h_3	human_si_X1000uM_72h_1	human_si_X1000uM_72h_2	human_si_X1000uM_72h_3
A1CF	7.248286983	6.700108773	6.412228413	6.56855332	6.760713615	6.389679591	7.005904125	6.778472924	7.006888704	6.909653713	6.995105653	6.181883923
A4GALT	7.478077276	8.105523406	7.460573752	7.218243605	7.752168648	7.628429135	7.509966927	7.499145647	7.689160253	6.523680881	6.568223035	6.103449645
AAAS	8.425748	9.00151853	9.088238762	9.117104773	9.233232475	9.135706434	8.447446451	8.994596164	8.620841451	9.118324208	9.204023864	8.899706597
AACS	9.598720189	9.863485277	9.826671267	9.661016211	9.703951386	9.647017267	9.225663261	9.243679841	9.198032241	8.687607315	8.594735236	8.537236381
AADAC	5.459815192	5.391650354	5.490192603	5.768435405	5.489816701	5.390172783	5.685318839	5.676816184	5.446631898	5.803046872	6.037364534	5.71983774
AADAT	5.528546732	5.467026739	5.856723009	5.24586168	5.332135462	5.583037304	5.286607293	5.314086256	5.022832452	5.293568379	5.313469428	4.820229161
AAGAB	8.194295647	8.057294091	8.249373609	7.942632456	7.874941533	7.606186753	8.752656904	8.539784264	8.559725627	8.631829672	8.583529211	8.340524625
AAK1	8.856094916	8.92820704	8.649852067	8.132506881	8.212028859	8.279988769	8.847972915	8.817970074	8.773243188	8.0841818	8.05134408	8.069442198
AAMP	9.458713334	9.656787183	9.678478784	9.644210395	9.660843704	9.442130541	9.347267803	9.236035989	9.363298111	9.358689272	9.627931983	9.390460358
AAR2	8.452627821	8.559550849	8.708936482	8.919977711	8.838309972	8.902964355	8.905067174	8.845050832	8.967901539	9.484017777	9.395219952	9.200220031
AARS1	9.573008006	9.266109326	9.476982646	10.02780547	9.945127322	9.676305914	8.99764196	9.146442069	8.789957718	10.1423057	10.64601499	9.666626856
AARS2	7.019351345	7.08063325	7.425280876	6.680920875	6.729329236	6.74940007	6.792899287	7.055076238	6.81766121	6.399609938	6.494068031	6.569089156
AARSD1	5.950262831	6.298245902	6.589788704	6.201300403	5.84387851	5.961993602	6.625258165	6.573026427	6.407298172	5.845910744	5.834315347	6.324819569
