Symbol	mouse_inviro_colon_Untr_24hr_1	mouse_inviro_colon_Untr_24hr_2	mouse_inviro_colon_Untr_24hr_3	mouse_inviro_colon_Untr_72hr_1	mouse_inviro_colon_Untr_72hr_2	mouse_inviro_colon_Untr_72hr_3	mouse_inviro_colon_X1000_24hr_1	mouse_inviro_colon_X1000_24hr_2	mouse_inviro_colon_X1000_24hr_3	mouse_inviro_colon_X1000_72hr_1	mouse_inviro_colon_X1000_72hr_2	mouse_inviro_colon_X1000_72hr_3
A1CF	188.211876975309	360.328737572887	164.334194005891	274.592248024612	167.779142248008	310.92397059811	500.145842359685	588.862480960001	430.672369162709	500.33651496733	533.812414985345	584.811533107325
AAAS	1250.21349458504	1035.94512052205	1037.47246655367	1229.92269267298	1266.59500008537	1234.55105972779	1002.06211247993	944.479571972108	1060.62515475816	1240.78988421586	1640.90928972608	1042.00764627662
AACS	1745.4325777292	2183.42056457857	2426.18669941664	2951.60564701741	2667.9634095175	3226.29343608863	1130.41812512092	1180.18882167297	1390.24063027962	1087.78519102272	1313.85520448858	846.700568806241
AADAC	923.168522046193	561.941245500574	646.501554440757	350.809868198744	438.701199812414	449.925275100795	1133.95898064205	1485.70743104134	1532.85362971727	102.747677180791	127.814240207759	155.357902533255
AAGAB	422.224362796321	367.478117286635	391.873847244817	495.936569626201	459.329782875693	501.136282022837	323.988280183442	335.084926404017	264.447945977102	345.098176618092	447.349840727155	211.952567027513
AAK1	926.031060099049	740.675738344268	604.063603241434	742.338738956271	485.459321422514	687.690664381703	763.939578683908	671.812425976682	756.510016884495	594.149611523705	563.886353857758	460.525211080721
AAMDC	284.106901745999	380.347000771381	479.458555039165	380.044023881973	353.436389817525	320.983275529226	353.200338232769	411.46457874611	289.948283624894	174.224322176124	163.52704261875	170.893692786581
AAMP	1223.0193830829	1106.00904171678	1457.33730288741	1574.4680989396	1890.9534474673	1713.73976735547	1122.45120019837	831.963309919779	1157.90422059974	1247.49081968417	1723.61262162521	1219.55953488605
AAR2	271.941115021359	524.049533017711	603.160668109534	542.920034117104	715.124212860361	529.485232283253	684.270329458471	683.310438157212	752.732189084823	851.018804475682	843.949909607112	704.659057918694
AARS1	2602.76272455969	2407.19614961887	2571.55925565262	2233.28067880093	2689.96723145167	2613.59031755706	1456.17683306492	1305.02438249016	903.845301071738	4245.04261917594	4020.50970300582	3488.89461117539
AARS2	281.959998206357	203.757321841811	208.578015469015	243.26993836401	566.598414804747	309.09500606518	161.108926211438	193.002347316039	179.446820484462	163.056096395603	202.999087388793	148.699706710402
AARSD1	171.036648658171	195.178066185314	267.268799042548	250.578477284817	567.973653675633	264.285375008394	160.223712331156	135.512286413389	113.334833990187	87.112161088062	174.804769695905	170.893692786581
