Symbol	mouse_invivo_intes_Ctrl_6hr_1	mouse_invivo_intes_Ctrl_6hr_2	mouse_invivo_intes_Ctrl_6d_1	mouse_invivo_intes_Ctrl_6d_2	mouse_invivo_intes_X50_6hr_1	mouse_invivo_intes_X50_6hr_2	mouse_invivo_intes_X50_6hr_3	mouse_invivo_intes_X50_6hr_4	mouse_invivo_intes_X50_6hr_5	mouse_invivo_intes_X50_6d_1	mouse_invivo_intes_X50_6d_2	mouse_invivo_intes_X50_6d_3	mouse_invivo_intes_X50_6d_4	mouse_invivo_intes_X50_6d_5
A1CF	538.3606956737	1049.47762682694	1014.57319941595	827.76670546532	137.18272051437	176.104263742827	627.165197222079	970.729055602165	734.871524416712	384.165815559039	360.846192993347	291.297459329919	437.767656620532	221.814480475928
A4GALT	30.7462435379157	19.7085000343087	11.5951222790395	36.8715681721746	10.1275833936783	16.3472312335114	15.1661569740759	21.0374717932358	13.9004701970374	62.5059553651818	59.6819403169657	80.4900874464251	56.0736099491468	63.3755658502651
A4GNT	3.61720512210772	9.85425001715435	7.73008151935964	7.37431363443492	0	3.71527982579805	7.13701504662394	8.01427496885172	5.56018807881497	11.939339788855	17.4454902464977	9.58215326743156	18.6912033163823	21.125188616755
AAAS	332.180003713559	243.89268792457	212.57724178239	307.877594237658	204.393046672417	306.882113610919	344.360975999605	396.70661095816	318.784116518725	573.088309865038	704.246895740196	563.430612124975	412.190220503378	575.661389806575
AACS	304.4480977774	179.840062813067	135.276426588794	103.240390882089	148.230993307473	109.229226878463	165.043472953179	173.308696201418	122.324137733929	129.928109466951	130.382085000141	121.693346496381	184.944538077888	232.377074784306
AADAC	409.347046318524	327.653813070382	691.842295982688	645.252443013056	777.061853114953	919.903284867596	419.299633989156	308.549586300791	573.626070131078	351.859366718608	493.064645387855	394.78471461818	339.392902323783	381.573719390138
AAGAB	156.142687770983	137.959500240161	171.994313805752	140.111959054263	203.472357272991	187.993159185381	111.515860103499	182.324755541377	112.130459589435	111.667942731055	88.1456349296725	79.5318721196819	118.049705156099	106.946267372322
AAK1	613.719135717611	1019.91487677548	912.149619284438	853.576803185842	302.906812410924	338.833520112782	686.045571356726	867.545265378199	606.987198603968	751.476092592635	731.792406655718	615.174239769106	725.021939167039	645.638577099576
AAMDC	223.060982529976	142.886625248738	179.724395325112	191.732154495308	566.22398064656	391.590493639114	202.512801947954	177.315833685844	320.637512544997	50.5666155763269	52.336470739493	45.9943356836715	85.5860362381715	48.851998676246
AAMP	572.121276813372	408.951375711906	411.626840905901	540.168473722358	1371.8272051437	916.931061006958	447.847694175652	389.694120360415	487.443154909446	469.848136396704	369.109846268003	451.319418896026	443.670141878337	427.78506948929
AAR2	536.552093112646	325.190250566094	411.626840905901	379.777152173398	354.465418778741	452.521082782202	443.387059771512	409.729807782544	476.322778751816	292.162667774333	273.618741760858	338.250010340334	350.214125296426	312.916856385684
AARS1	811.459682392833	517.348125900604	452.209768882539	444.302396474704	605.813624821848	748.257356915727	667.310906859338	619.102741343795	610.693990656511	504.963841658042	495.819196479408	531.809506342451	731.908171967811	682.607657178897
AARS2	56.669546913021	64.0526251115033	48.3130094959978	27.653676129131	58.0034321637939	69.1042047598437	53.5276128496795	63.1124153797073	44.4815046305198	49.1619873658733	46.8273685563885	52.7018429708736	41.3173968046345	64.6958901388123
AARSD1	19.2917606512412	24.6356250428859	17.3926834185592	31.3408329463484	27.620681982759	23.7777908851075	12.4897763315919	10.0178437110647	21.3140543021241	9.83239747317467	37.6455315845476	39.2868283964694	18.6912033163823	51.4926472533404
AASDH	16.880290569836	34.4898750600402	25.1227649379188	25.8100977205222	13.8103409913795	14.1180633380326	12.4897763315919	26.0463936487681	23.1674503283957	10.5347115784014	23.8727761267863	22.0389525150926	29.5124262890246	26.4064857709438
AASDHPPT	12.0573504070257	27.0991875471745	19.3252037983991	14.7486272688698	23.9379243850578	19.3194550941498	15.1661569740759	24.0428249065552	27.8009403940749	14.0462821045352	40.4000826760999	40.2450437232125	16.7237082304473	34.3284315022269
AATF	25.9233033751054	22.1720625385973	38.6504075967982	29.4972545377397	63.5275685603457	80.9931002023974	51.7433590880235	31.0553155043004	40.7747125779765	54.7805002076874	86.3092675353043	86.239379406884	45.2523869765045	93.7430244868505
AATK	13.8659529680796	2.46356250428859	0	0	3.6827575977012	8.91667158191531	0.892126880827992	1.00178437110647	7.41358410508663	7.72545515749438	11.9363880633931	11.4985839209179	5.90248525780493	14.5235671740191
ABAT	1601.81900157337	2049.68400356811	1804.97403477048	1745.86875295247	564.382601847709	584.041988615453	1574.60394466141	1573.80324700826	1258.45590183846	1918.72213547951	2380.85032679834	1172.85555993362	1491.36127513871	1223.94061548325
ABCA1	615.527738278664	1197.29137708425	829.051242951321	632.347394152794	214.520630066095	188.736215150541	742.249564848889	961.712996262207	692.243415812464	1017.65313847358	911.7564113038	1064.57722801165	1077.2035595494	1132.83823957349
ABCA2	411.758516399929	182.303625317356	229.969925200949	370.559260130355	121.53100072414	237.777908851075	198.052167543814	260.463936487681	265.035631756847	501.452271131908	495.819196479408	342.082871647307	363.986590897971	327.440423559703
ABCA3	1871.3007831704	1029.76912679263	842.578885610201	1107.99062357385	295.541297215521	725.222621995779	772.581878797041	1031.83790223966	1102.77063563164	696.695592384948	680.374119613409	653.502852838832	697.477007963949	637.716631368293
ABCA5	2.41147008140515	4.92712500857718	0	3.68715681721746	5.5241363965518	4.45833579095766	6.24488816579594	3.0053531133194	4.63349006567914	5.61851284181409	3.67273478873635	5.74929196045893	3.93499017186995	5.28129715418876
ABCA7	950.72207959398	556.765125969221	597.148797370532	669.218962324969	576.351564040238	716.305950413863	545.981651066731	704.254412887845	803.447177388764	494.42913007964	356.255274507426	443.653696282081	537.126158460249	405.339556583987
ABCB1	1821.86564650159	2552.25075444298	2073.59436756822	2413.24413686883	285.413713821843	724.479566030619	1448.81405446466	2248.00412876291	2000.74101036025	1842.87221211502	3803.11687373649	1570.51492053203	1175.57831384615	1481.40385174995
ABCB10	512.437392298594	293.163938010342	284.080495836467	272.849604474092	283.572335022992	194.680662871818	325.626311502217	366.653079824966	397.553447635271	193.13637893736	166.19124919032	183.019127407943	268.563079230124	216.533183321739
ABCB6	192.314738992061	81.2975626415234	131.411385829114	151.173429505916	115.086174928163	205.826502349212	76.7229117512073	98.1748683684336	131.591117865288	61.803641259955	71.6183283803589	57.4929196045893	77.7160558944316	67.3365387159067
ABCB7	91.6358630933957	179.840062813067	212.57724178239	140.111959054263	137.18272051437	104.770891087505	96.3497031294231	195.347952365761	151.978474154276	113.072570941509	140.482105669165	126.484423130097	148.545878988091	121.469834546342
ABCB8	897.066870282716	559.22868847351	459.939850401899	545.699208948184	496.251586290237	722.25039813514	626.27307034125	585.042072726176	567.139184039127	1071.02901047081	865.847226444595	776.154414661956	945.381388791756	940.070893445599
ABCB9	636.025233970608	325.190250566094	367.178872169583	379.777152173398	576.351564040238	650.917025479818	378.261797471069	366.653079824966	417.014105911123	302.697379352734	213.936801443893	210.807371883494	251.839370999677	236.338047649947
ABCC1	37.9806537821311	51.7348125900604	21.257724178239	23.9665193119135	32.2241289798855	18.5763991289902	49.0669784455396	50.0892185553233	36.1412225122973	212.098859778482	268.109639577754	285.54816736946	193.798265964595	316.877829251326
ABCC10	601.661785310585	320.263125557517	407.761800146221	353.967054452876	228.330971057474	392.333549604274	320.273550217249	362.64594234054	294.689968177194	437.541687556273	338.809784260929	321.002134458957	408.255230331508	355.167233619194
ABCC2	3953.00233094339	5951.96701036123	6342.53188663459	4891.01351803896	1350.65134895692	2833.27239515359	3044.82904426594	6159.97209793365	4396.25537431637	3683.63748191437	6761.50474606363	2475.07018897757	2288.19678494238	3166.13764393616
ABCC3	2350.58046184967	1325.39662730726	865.76913016828	868.325430454712	717.217042152309	493.389160865981	1881.49559166624	1893.37246139122	1566.11964219955	2131.52330936322	1993.37680658666	2188.56380628137	2233.1069225362	2430.71701521538
ABCC4	20.4974956919438	34.4898750600402	9.66260189919955	22.1229409033048	37.7482653764373	23.7777908851075	27.6559333056678	25.0446092776616	21.3140543021241	176.983154517144	190.064025317106	218.473094497439	157.399606874798	235.0177233614
ABCC5	129.616516875527	142.886625248738	164.264232286392	132.737645419829	123.37237952299	160.500088474476	103.486718176047	140.249811954905	129.737721839016	494.42913007964	556.419320493557	449.40298824254	413.173968046345	381.573719390138
ABCC6	466.016593231545	273.455437976033	343.988627611504	318.93906468931	336.051630790235	601.875331779284	176.641122403942	240.428249065552	247.428369507266	27.3902501038437	33.9727967958113	13.4150145744042	11.8049705156099	27.726810059491
ABCC8	34.3634486600234	27.0991875471745	38.6504075967982	44.2458818066095	10.1275833936783	32.6944624670228	29.4401870673237	39.0695904731521	33.3611284728898	33.0087629456578	36.7273478873635	29.7046751290378	32.4636689179271	22.4455129053022
ABCC9	6.63154272386416	2.46356250428859	3.86504075967982	5.53073522582619	2.7620681982759	3.71527982579805	3.56850752331197	9.01605933995819	0	59.6966989442748	153.336677429743	118.818700516151	85.5860362381715	77.8991330242842
ABCD1	13608.5285368896	6099.78076061855	7127.13516084959	8248.16980011546	4491.12289039661	6917.85103563596	5933.53588438698	6985.44241972538	8647.94585858355	6329.25471630358	4513.79105535698	3944.97250020157	7249.23564412742	3457.92931170509
ABCD3	885.612387396041	1281.05250223007	1389.4821531049	1321.84571897246	918.84802062645	957.056083125577	942.978113035188	1147.0431049169	1163.9327044986	1400.41432582216	1707.8216767624	1179.56306722082	1296.57926163115	1276.75358702513
ABCD4	395.481093350444	298.091063018919	301.473179255026	309.721172646267	312.113706405177	407.937724872626	281.912094341646	295.526389476407	246.50167149413	293.567295984786	275.455109155226	225.180601784642	293.156767804311	265.385181997985
ABCE1	104.898948541124	214.329937873107	125.613824689594	147.486272688698	198.868910275865	125.576458111974	176.641122403942	156.278361892609	183.486206600894	313.232090931136	346.155253838401	461.859787490201	310.864223577726	546.614255458537
ABCF1	1141.22821602499	746.459438799442	657.056929145569	916.258469078539	1106.66865810921	1807.85516323333	924.2434485378	951.695152551142	760.819068784515	1068.2197540499	955.829228768636	1031.03969157564	869.63282798326	1109.07240237964
ABCF2	213.415102204356	162.595125283047	144.939028487993	204.637203355569	179.534432887934	166.444536195753	165.935599834007	173.308696201418	153.831870180548	322.362174299084	339.727967958113	352.623240241481	304.961738319921	455.511879548781
ABCF3	209.797897082248	137.959500240161	135.276426588794	180.670684043656	268.841304632188	272.701539213577	187.346644973878	207.369364819038	186.266300640302	184.006295569412	168.027616584688	180.144481427713	206.586984023173	215.212859033192
ABCG1	42.2007264245901	24.6356250428859	28.9878056975987	23.9665193119135	48.7965381695409	26.7500147457459	33.9008214714637	39.0695904731521	23.1674503283957	37.2226475770184	36.7273478873635	65.1586422185346	42.301144347602	43.5707015220573
ABCG2	302.036627695995	418.80562572906	494.725217239017	376.089995356181	1069.8410821322	528.312791228482	496.022545740364	382.68162976267	753.405484679429	347.645482087247	426.037235493417	438.862619648365	452.523869765045	390.815989409968
ABCG5	5477.05142239145	4579.76269547249	6352.19448853378	5178.61174978192	6953.96703385929	7157.85811238252	6006.69028861487	5923.55098635253	6057.82491186891	2897.04568406039	3653.45293109549	2640.84144050414	3258.17186230832	2387.14631369332
ABCG8	8284.60546466739	6355.99126106456	8572.66040496984	6937.38555159465	4729.58144484777	8102.28224410038	6395.65760865588	7063.58160067169	6326.5673356783	4659.15177407434	5079.39221282238	3890.35422657721	4370.79033340455	3475.0935274562
ABHD10	45.2150640263466	73.9068751286577	40.5829279766381	44.2458818066095	58.9241215632192	69.1042047598437	70.4780235854114	32.0570998754069	50.0416927093347	27.3902501038437	47.7455522535726	34.4957517627536	27.5449312030897	48.851998676246
ABHD11	718.015216738383	677.479688679362	508.252859897896	702.403373679926	693.279117767251	659.090641096574	639.65497355367	524.935010459788	522.657679408607	868.060234060278	954.911045071452	1113.44620967555	952.267621592529	1208.09672402068
ABHD12	2030.45780854314	1569.28931523183	2158.62526428118	2116.42801308282	4228.7264115604	3819.30766092039	2015.31462379043	1567.79254078162	2187.00731100056	818.898246694404	994.392944050368	865.268440049069	635.500912756997	781.631978819937
ABHD13	235.721200457353	300.554625523208	262.822771658228	263.631712431048	177.693054089083	205.826502349212	231.952989015278	290.517467620875	321.564210558133	184.708609674638	226.79137320447	179.18626610097	208.554479109107	188.806373262248
